Genes,GSM458594,GSM458595,GSM458596,GSM458597,GSM458598,GSM458599,GSM458600,GSM458601
10338199,5.677000445,4.668366668,4.636908643,4.160534064,4.742012038,4.127779907,4.801840475,5.540941541
10338200,6.998234498,5.686049483,6.564116618,4.734901751,6.05231424,6.262583052,6.358184938,6.015062588
10338201,4.662079298,4.629706325,3.828714832,3.63186603,3.561728323,5.418423234,4.839607152,4.011744199
10338202,7.412886362,7.31671098,7.506571045,7.157004542,7.529095295,7.591502827,6.947750984,6.698292869
10338203,7.909202067,7.52491086,7.43739131,7.139790216,6.923162611,7.736098321,7.25809019,6.858312254
10338204,4.746685694,4.956881584,5.436465345,4.605386026,5.213375183,4.532758108,4.495819627,4.895962479
10338205,5.544250795,6.333542094,5.757142751,7.155497296,7.168202118,5.869816312,6.773247039,7.329861415
10338206,1.988525105,2.001228853,2.005403443,1.771034546,2.016481689,1.771289855,2.109046749,1.805252935
10338207,2.002499103,2.173637588,2.188562663,2.111035692,1.892443147,2.059554113,2.135018634,2.006670444
10338208,6.650762791,6.115706693,6.287102066,4.924903783,6.218979437,6.775798236,6.504124499,6.574549204
10338209,9.392345763,7.837797893,9.051833264,8.407166765,8.749795861,8.253235273,8.061905073,8.550917042
10338210,7.517078317,7.046121963,7.362635746,6.774689563,7.330498172,7.158105592,6.887503227,6.922390737
10338211,6.723446663,5.897501618,6.869318185,5.721567921,5.808445471,6.266952088,5.81514027,5.799153443
10338212,3.479821371,3.122326513,4.631409815,3.747660953,3.17398661,3.884095787,4.348900071,3.399489176
10338213,10.12722071,8.793818563,9.887575973,9.221481824,9.254879382,9.013112565,8.898898857,9.06815286
10338214,8.466355167,8.11422677,8.168741452,7.575468275,7.847142157,8.076859258,7.702240317,7.95579598
10338215,4.338040289,2.840629968,3.75013718,3.128718782,3.264094404,3.307351051,2.596663332,3.202909053
10338216,6.013110003,5.65902121,6.183698198,5.66603058,5.526062382,5.439499643,5.912523999,5.643302727
10338217,6.086309857,6.801439244,6.69628547,6.936686654,7.103843089,6.80585039,6.605716555,7.006048567
10338218,5.766103658,4.978628024,5.667610499,5.151320265,4.411358524,5.186428269,5.756905873,4.880308563
10338219,4.933825372,4.046484408,5.560535617,4.34277258,4.717203577,3.672082401,4.602304054,4.670987626
10338220,3.999262121,3.678705451,4.086868358,4.239872867,4.24891839,3.40412826,3.995330982,3.336157482
10338221,9.510317055,10.00458104,9.763217061,10.07730745,9.690813329,9.917596615,10.3681885,10.33302179
10338222,3.218007813,2.157342463,3.564471609,3.694581325,3.418927852,3.150157757,3.712383961,2.668851517
10338223,8.68121107,8.342826946,9.041370033,7.430977203,7.921019776,8.596987627,7.899775977,8.407641006
10338224,6.365668848,4.482677669,5.585734329,5.067275779,5.704499674,5.665451686,5.205069059,5.485874997
10338225,5.366811479,5.035970025,3.23018994,4.414499315,4.477105254,4.755743817,4.659415909,3.993167436
10338226,3.330117322,3.596873259,3.820138863,3.518533552,3.625884883,3.39259504,3.931506635,3.695774481
10338227,4.57228891,4.943358234,4.256176765,5.167379519,5.023975378,4.676243145,4.900705441,5.372692254
10338228,8.37340656,8.895786114,8.25512387,9.036303618,8.726572463,8.676311409,9.071688409,8.999255127
10338229,3.975200154,3.018785952,4.514772588,4.111648402,4.482103897,4.568884442,3.392344289,4.614443711
10338230,3.106675541,2.148305052,2.900238353,2.673030819,3.929170685,2.91668049,2.97377633,2.825535531
10338231,7.381188575,8.177888592,7.73920879,8.250178972,8.376626453,7.918050113,8.529437259,8.4799134
10338232,6.079113959,5.729119582,5.868392539,8.406933644,5.829142978,5.309992118,5.836329298,6.213718327
10338233,4.338304276,4.122627192,4.493342027,4.062475229,4.378682536,3.881983304,3.538079626,3.592328129
